Parcel_No,fulladd,REALKEY,HOMEEXEMPT,CENSUS_CAT,X,Y
I56K   005,0 Chandler St,15342,S0,B-2,-82.93621627,34.3633977
I56K   005 001,0 Leard St,20744,S0,B-2,-82.9358946,34.36261762
I56L   005,0 Chandler Pl,15372,S0,B-2,-82.9354478,34.3636418
I56L   006,0 Chandler St,15373,S0,B-2,-82.93537182,34.363275
I56L   006 001,,20709,S0,B-2,-82.93494302,34.36352372
I56L   007,0 Chandler St,15374,S0,B-2,-82.93518063,34.36284221
I56L   008,30 Chandler St,15375,S0,B-2,-82.93456137,34.36307645
I56L   009,26 Chandler St,15376,S0,B-2,-82.93476892,34.36232083
I56L   010,332 Vickery St,15377,S0,B-2,-82.93238106,34.36227967
I56L   011,145 Oak St,15378,S1,R-1,-82.93134001,34.36292884
I56L   012,129 Oak St,15379,S0,R-1,-82.93107762,34.36295255
I56L   013,113 Oak St,15380,S0,R-1,-82.93082544,34.36303551
I56L   014,731 N Forest Av,15381,S0,R-1,-82.929661,34.36274106
I56L   015,0 N Forest Av,15382,S0,B-2,-82.92920878,34.36316599
I56L   016,0 Oak St,15383,S0,B-2,-82.92958296,34.36318842
I56L   017,41 Oak St,15384,S0,R-1,-82.93026585,34.36303404
I56L   018,382 Vickery St,15385,S1,R-1A,-82.93306435,34.36270051
I56L   019,402 Vickery St,15386,S0,R-1A,-82.93335198,34.36289531
I56L   020,420 Vickery St,15387,S1,R-1A,-82.93359548,34.36314143
I56L   021,54 Murfee Ln,15388,S0,R-1A,-82.93314343,34.3635098
I56L   022,102 Muurfee Ln,15389,S0,R-1A,-82.93285926,34.36320599
I56L   023,200 Oak St,15390,S0,R-1A,-82.9325513,34.36295034
I56L   024,134 Oak St,15391,S1,R-1A,-82.93143462,34.36343852
I56L   025,129 Murfee Ln,15392,S0,R-1A,-82.93220149,34.36338726
I56L   026,0 Murfee Ln,15393,S0,R-1A,-82.93236262,34.36365207
I56L   027,91 Murfee Ln,15394,S1,R-1A,-82.93252268,34.36389413
I56L   028,0 Vickery St,15395,S0,R-1A,-82.93389949,34.36366318
I56L   029,0 Vickery St,15396,S0,R-2,-82.93158309,34.36405182
I56L   086,55 Baker St,15456,S0,R-1A,-82.93069735,34.36411667
I56L   087,205 Baker St,15457,L1,R-1A,-82.93067525,34.36395107
I56L   089,25 Baker St,15459,S1,R-1A,-82.93064676,34.36375069
I56L   090,0 New baker St,15460,S0,R-1A,-82.93059489,34.36353453
I56L   091,0 New baker St,15461,S0,R-1A,-82.93005103,34.36376595
I56L   092,38 Baker St,15462,S0,R-1A,-82.9300252,34.36398689
I56L   093,54 Baker St,15463,S0,R-1A,-82.93007337,34.36416533
I56L   101,833 N Forest Av,15472,S0,R-1,-82.92955426,34.36424677
I56L   102,823 N Forest Av,15473,S0,R-2,-82.92939354,34.36409317
I56L   103,1223 N Forest Av,15474,S0,R-2,-82.92936056,34.36383371
I56L   104,775 North forest Av,15475,S0,B-2,-82.92960333,34.36354645
I56L   105,726 N Forest Av,15476,S0,R-1,-82.92825403,34.3626263
I56L   106,,15477,S0,R-1,-82.92791178,34.36292972
I56L   107,738 N Forest Av,15478,S1,R-1,-82.92855595,34.36295969
I56L   108,708 N Forest Av,15479,S0,R-1,-82.92855235,34.36322636
I56L   109,,15480,S0,R-1,-82.92791075,34.3631932
I56L   111,776 N Forest Av,15482,S0,R-1,-82.92854881,34.36349744
I56L   112,796 N Forest Av,15483,L1,R-1,-82.9285415,34.36378679
I56L   115,822 N Forest Av,15486,S0,R-1,-82.92858106,34.36401084
I56L   160,0 Forest Av,15530,S0,R-1,-82.92711928,34.36301141
I56L   161,0 Chandler St,15531,S0,B-2,-82.93406724,34.36241715
I56L   162,703 N Forest Av,15532,S0,R-1,-82.92937737,34.36232527
I56P   017,481 Chandler St,15709,S0,R-2,-82.93504057,34.36009294
I56P   018,529 Chandler St,15710,S0,R-2,-82.935247,34.3609065
I56P   019,19 Leard St,15711,S1,R-2,-82.93553502,34.36172244
I56P   021,24 Whitehall St,15712,S0,B-2,-82.9336594,34.36131572
I56P   024,303 Vickery St,15715,S0,R-1,-82.93306074,34.36139042
I56P   025,281 Vickery St,15716,S1,R-1,-82.93293488,34.36113904
I56P   026,265 Vickery St,15717,S0,R-1,-82.93263832,34.36099719
I56P   027,249 Vickery St,15718,S1,R-1,-82.93251379,34.3607312
I56P   030,238 Vickery St,15721,S1,R-1,-82.93187744,34.36085275
I56P   031,0 Vickery St,15722,S0,R-1,-82.93173652,34.36062425
I56P   032,120 Cayuga St,15723,S1,R-1,-82.93147773,34.36090549
I56P   033,260 Vickery St,15724,S0,R-1,-82.93172271,34.36133968
I56P   034,284 Vickery St,15725,L1,R-1,-82.93223146,34.36148732
I56P   034 001,0 Vickery St,15726,S0,R-1,-82.93169686,34.36173482
I56P   035,302 Vickery St,15727,S0,R-1,-82.93206892,34.36181397
I56P   038,102 Cayuga St,15730,S0,R-1,-82.93119827,34.36101717
I56P   039,86 Cayuga St,15731,S0,R-1,-82.93091689,34.36147365
I56P   040,0 N Forest Av,15732,S0,R-1,-82.9305169,34.36185747
I56P   041,0 Baker St,15733,S0,R-1,-82.93004357,34.36230366
I56P   042,0 N Forest Av,15734,S0,R-1,-82.9300385,34.3619872
I56P   043,671 N Forest Av,15735,S0,R-1,-82.92941033,34.36203912
I56P   044,74 Cayuga St,15736,S0,R-1,-82.9306168,34.36130031
I56P   045,52 Cayuga St,15737,S0,R-1,-82.93035838,34.3613861
I56P   046,40 Cayuga St,15738,L1,R-1,-82.93003826,34.36149534
I56P   047,649 N Forest Av,15739,S0,R-1,-82.92950745,34.36177313
I56P   050,611 N Forest Av,15742,S0,R-1,-82.92956896,34.36148396
I56P   050 001,611 N Forest Av,20835,L1,R-1,-82.92960932,34.36120243
I56P   051,696 N Forest Av,15743,L1,R-1,-82.92828921,34.36220457
I56P   052,0 N Forest Av,15744,S0,R-1,-82.92838293,34.36158506
I56P   053,602 N Forest Av,15745,S0,R-1,-82.92832371,34.36074306
I56P   054,512 N Forest St,15746,S0,R-1,-82.9283579,34.35986714
I56P   055,512 N Forest Av,15747,S0,R-1,-82.92915906,34.35976687
I56P   056,491 Richardson St,15748,S0,B-1,-82.92794868,34.35909071
I56P   057,0 W Richardson St,15749,S0,R-1,-82.92799105,34.35894725
I56P   057 001,0 W Richardson St,18989,S0,R-1,-82.92790211,34.35925992
I56P   058,119 Colfax St,15750,S0,R-1,-82.92803227,34.35879785
I56P   059,85 Colfax St,15751,S0,R-1,-82.92834158,34.35907855
I56P   060,71 Colfax St,15752,S0,R-1,-82.92863977,34.35913538
I56P   061,55 Colfax St,15753,S0,R-1,-82.92887046,34.35917777
I56P   062,105 Colfax St,15754,S0,R-1,-82.92903975,34.35921176
I56P   063,35 Colfax St,15755,S0,R-1,-82.92925791,34.35907785
I56P   064,25 Colfax St,15756,S0,R-1,-82.92943589,34.35906071
I56P   065,466 N Forest Av,15757,S1,R-1,-82.92967338,34.35910656
I56P   066,,15758,S0,R-1,-82.92952544,34.35928695
I56P   067,490 N Forest Av,15759,S0,R-1,-82.92936359,34.35946598
I56P   068,465 N Forest Av,15760,S0,R-1,-82.93037794,34.35917664
I56P   069,481 N Forest Av,15761,S0,R-1,-82.93036392,34.35958582
I56P   070,511 N Forest Av,15762,S0,R-1,-82.93009733,34.35982889
I56P   071,529 N Forest Av,15763,S1,R-1,-82.93028787,34.36018444
I56P   072,593 N Forest Av,15764,S1,R-1,-82.92972368,34.3606586
I56P   073,45 Cayuga St,15765,S1,R-1,-82.93011974,34.36071993
I56P   074,81 Cayuga St,15766,S1,R-1,-82.93049775,34.36071118
I56P   075,105 Cayuga St,15767,S0,R-1,-82.93087468,34.36059405
I56P   076,192 Vickery St,15768,S0,R-1,-82.9313972,34.36036378
I56P   077,210 Vickery St,15769,S0,R-1,-82.93119075,34.36011038
I56P   078,144 Vickery St,15770,L1,R-1,-82.93108409,34.35975327
I56P   079,130 Vickery St,15771,L1,R-1,-82.93098592,34.35935753
I56P   080,106 Vickery St,15772,L1,R-1,-82.93093417,34.35904628
I56P   081,427 N Forest Av,15773,S0,R-1,-82.93057892,34.35869429
